"Date","Price","Open","High","Low","Vol.","Change.."
2018-04-12,129.66,118.33,130.85,113.27,"2.70M","9.58%"
2018-04-11,118.33,114.32,119.75,113.22,"880.50K","3.50%"
2018-04-10,114.32,114.99,115.35,111.73,"850.22K","-0.57%"
2018-04-09,114.98,117.84,122.89,112.94,"1.28M","-2.43%"
2018-04-08,117.84,116.09,118.53,115.65,"693.31K","1.51%"
2018-04-07,116.09,113.08,119.68,112.8,"896.24K","2.65%"
2018-04-06,113.09,118.65,120.36,112.11,"1.02M","-4.69%"
2018-04-05,118.66,118.31,122.42,114.02,"1.33M","0.32%"
2018-04-04,118.28,134.25,134.64,115.61,"1.89M","-11.91%"
2018-04-03,134.26,119.18,137.02,118.38,"1.54M","12.66%"
2018-04-02,119.18,115.1,121.57,114.42,"1.11M","3.48%"
2018-04-01,115.17,116.33,118.1,109.88,"1.22M","-1.00%"
2018-03-31,116.34,118.52,124.54,115.78,"1.28M","-1.84%"
2018-03-30,118.52,114.66,126.34,109.97,"2.33M","3.36%"
2018-03-29,114.67,131.63,132.55,112.92,"2.43M","-12.89%"
2018-03-28,131.63,134.97,139.67,130.47,"1.20M","-2.23%"
2018-03-27,134.64,148.24,149.48,134.46,"1.50M","-10.67%"
2018-03-26,150.72,160.38,160.75,144.73,"1.93M","-6.03%"
2018-03-25,160.39,159.24,162.08,154.56,"1.12M","0.73%"
2018-03-24,159.23,167.08,167.67,159.04,"1.31M","-4.73%"
2018-03-23,167.14,163.47,178.7,158.31,"1.53M","2.24%"
2018-03-22,163.47,168.3,171.01,160.58,"1.71M","-2.87%"
2018-03-21,168.3,169.26,176.18,165.13,"1.82M","-0.56%"
2018-03-20,169.25,159.82,171.53,156.39,"1.94M","5.38%"
2018-03-19,160.61,152.39,161.83,150.58,"2.14M","5.39%"
2018-03-18,152.4,152.02,155.34,139.18,"2.68M","0.24%"
2018-03-17,152.04,165.94,166.33,150.57,"1.79M","-8.41%"
2018-03-16,166.01,163.66,171.69,157.78,"1.78M","1.41%"
2018-03-15,163.69,160.52,166.3,151.08,"2.33M","1.93%"
2018-03-14,160.59,175.43,176.84,120.08,"1.98M","-8.47%"
2018-03-13,175.45,177.51,189.24,172.55,"1.75M","-1.15%"
2018-03-12,177.5,187.87,196.49,174.95,"2.10M","-5.51%"
2018-03-11,187.85,176.8,191.98,172.59,"2.36M","6.28%"
2018-03-10,176.75,142.02,190.63,138.59,"2.53M","24.45%"
2018-03-09,142.03,176.17,188.2,141.51,"3.86M","-19.38%"
2018-03-08,176.18,184.92,188.72,174.75,"2.29M","-4.72%"
2018-03-07,184.91,196.19,200.53,177.5,"2.63M","-5.75%"
2018-03-06,196.18,211.25,211.38,190.4,"2.00M","-7.13%"
2018-03-05,211.24,213.3,215.75,209.41,"1.44M","-0.98%"
2018-03-04,213.33,210.27,214.31,205.3,"1.37M","1.46%"
2018-03-03,210.27,212.43,217.88,209.23,"1.73M","-1.00%"
2018-03-02,212.4,209.63,213.22,204.31,"1.50M","1.32%"
2018-03-01,209.63,202.23,214.85,200.55,"1.61M","3.77%"
2018-02-28,202.01,215.07,223.22,201.84,"1.91M","-6.10%"
2018-02-27,215.14,218.46,223.11,212.81,"1.93M","-1.51%"
2018-02-26,218.44,217.86,231.2,215.03,"2.79M","0.34%"
2018-02-25,217.7,206.41,222.78,199.69,"2.27M","5.47%"
2018-02-24,206.41,206.67,217.99,194.57,"2.32M","-0.26%"
2018-02-23,206.94,193.09,215.31,182.44,"2.82M","7.20%"
2018-02-22,193.05,209.98,221.21,188.98,"2.86M","-8.08%"
2018-02-21,210.01,228.88,231.86,204.72,"3.16M","-8.17%"
