Date;AQ232683
21.09.2021;120,186
20.09.2021;119,936
17.09.2021;119,129
16.09.2021;120,973
15.09.2021;122,54
14.09.2021;121,842
13.09.2021;121,016
10.09.2021;120,332
09.09.2021;121,809
08.09.2021;118,723
07.09.2021;118,453
03.09.2021;119,077
02.09.2021;120,806
01.09.2021;119,356
31.08.2021;119,24
30.08.2021;120,13
27.08.2021;119,528
26.08.2021;118,969
25.08.2021;119,062
24.08.2021;119,501
23.08.2021;120,299
20.08.2021;120,56
19.08.2021;121,597
18.08.2021;120,692
17.08.2021;120,865
16.08.2021;121,342
13.08.2021;121,115
12.08.2021;118,963
11.08.2021;117,868
10.08.2021;117,741
09.08.2021;118,172
06.08.2021;118,99
05.08.2021;120,761
04.08.2021;122,256
03.08.2021;122,473
02.08.2021;122,516
30.07.2021;121,628
29.07.2021;119,951
28.07.2021;119,095
27.07.2021;117,681
26.07.2021;120,386
23.07.2021;122,506
22.07.2021;122,081
21.07.2021;120,872
20.07.2021;122,462
19.07.2021;124,621
16.07.2021;123,107
15.07.2021;123,225
14.07.2021;121,731
13.07.2021;120,536
12.07.2021;120,422
09.07.2021;120,51
08.07.2021;120,8
07.07.2021;120,984
06.07.2021;121,853
02.07.2021;120,833
01.07.2021;120,202
30.06.2021;119,843
29.06.2021;120,4
28.06.2021;119,665
25.06.2021;119,013
24.06.2021;119,174
23.06.2021;119,171
22.06.2021;120,22
21.06.2021;120,184
18.06.2021;122,604
17.06.2021;120,874
16.06.2021;116,776
15.06.2021;117,59
14.06.2021;118,093
11.06.2021;118,57
10.06.2021;119,33
09.06.2021;118,121
08.06.2021;117,325
07.06.2021;116,474
04.06.2021;116,455
03.06.2021;115,315
02.06.2021;116,102
01.06.2021;115,669
28.05.2021;115,538
27.05.2021;115,064
26.05.2021;115,305
25.05.2021;115,184
24.05.2021;114,84
21.05.2021;114,4
20.05.2021;113,7
19.05.2021;112,941
18.05.2021;113,278
17.05.2021;113,877
14.05.2021;114,118
13.05.2021;113,217
12.05.2021;112,575
11.05.2021;113,835
10.05.2021;115,162
07.05.2021;115,908
06.05.2021;116,359
05.05.2021;116,9
04.05.2021;116,333
03.05.2021;115,852
30.04.2021;115,382
29.04.2021;115,374
28.04.2021;115,156
27.04.2021;115,262
26.04.2021;116,25
23.04.2021;115,824
22.04.2021;116,06
21.04.2021;116,083
20.04.2021;115,902
19.04.2021;115,796
16.04.2021;115,809
15.04.2021;115,653
14.04.2021;116,462
13.04.2021;116,392
12.04.2021;115,627
09.04.2021;115,558
08.04.2021;116,531
07.04.2021;115,711
06.04.2021;116,127
05.04.2021;115,622
02.04.2021;115,315
01.04.2021;115,891
31.03.2021;114,074
30.03.2021;114
29.03.2021;113,925
26.03.2021;114,915
25.03.2021;115,562
24.03.2021;116,867
23.03.2021;116,654
22.03.2021;114,348
19.03.2021;113,341
18.03.2021;112,001
17.03.2021;112,017
16.03.2021;113,06
15.03.2021;112,236
12.03.2021;111,858
11.03.2021;115,203
10.03.2021;115,224
09.03.2021;114,586
08.03.2021;112,864
05.03.2021;114,436
04.03.2021;113,97
03.03.2021;115,103
02.03.2021;117
01.03.2021;117,209
26.02.2021;117,408
25.02.2021;115,861
24.02.2021;116,569
23.02.2021;117,399
22.02.2021;119,165
19.02.2021;119,715
18.02.2021;121,515
17.02.2021;122,172
16.02.2021;120,979
12.02.2021;122,081
11.02.2021;123,53
10.02.2021;124,62
09.02.2021;123,625
08.02.2021;123,005
05.02.2021;122,885
04.02.2021;122,863
03.02.2021;122,336
02.02.2021;123,372
01.02.2021;123,586
29.01.2021;124,504
28.01.2021;124,672
27.01.2021;126,034
26.01.2021;125,656
25.01.2021;125,994
22.01.2021;124,709
21.01.2021;124,512
20.01.2021;125,588
19.01.2021;123,83
15.01.2021;121,645
14.01.2021;120,31
13.01.2021;118,698
12.01.2021;117,876
11.01.2021;117,703
08.01.2021;118,667
07.01.2021;122,604
06.01.2021;127,296
05.01.2021;130,091
04.01.2021;132,881
31.12.2020;132,966
30.12.2020;132,857
29.12.2020;133,119
28.12.2020;131,994
24.12.2020;134,38
23.12.2020;133,884
22.12.2020;133,814
21.12.2020;133,839
18.12.2020;133,41
17.12.2020;133,778
16.12.2020;134,22
15.12.2020;133,984
14.12.2020;135,694
11.12.2020;135,597
10.12.2020;134,671
09.12.2020;133,075
08.12.2020;133,476
07.12.2020;133,214
04.12.2020;131,174
03.12.2020;132,656
02.12.2020;132,28
01.12.2020;133,257
30.11.2020;134,88
27.11.2020;134,923
